company_name,category,blacklist
AFER,BANQUE/ASSURANCE/FINANCES,True
Ebay,DISTRIBUTION,True
Ponant,TOURISME,True
ALPINE LODGES,IMMOBILIER,True
ABBVIE,SANTÉ,True
Aiways,TRANSPORT,True
DHL,SERVICES,True
Bouygues Telecom,HIGH TECH,True
AGIPI,BANQUE/ASSURANCE/FINANCES,True
Leclerc,DISTRIBUTION,True
SNCF,TOURISME,True
ALTAREA COGEDIM,IMMOBILIER,True
AGENCE DE LA BIOMEDECINE,SANTÉ,True
BMW,TRANSPORT,True
Geodis,SERVICES,True
SFR,HIGH TECH,True
ALLIANZ,BANQUE/ASSURANCE/FINANCES,True
Cdiscount,DISTRIBUTION,True
Club Med,TOURISME,True
ATLAND IMMOBILIER,IMMOBILIER,True
ALLERGAN FRANCE SAS,SANTÉ,True
Groupe Stellantis Homiris,TRANSPORT,True
Orange,SERVICES,True
MARCHE DE L'ART,HIGH TECH,True
ALTAPROFITS,BANQUE/ASSURANCE/FINANCES,True
Amazon,DISTRIBUTION,True
Accor,TOURISME,True
BARNES IMMOBILIER,IMMOBILIER,True
BAYER SA,SANTÉ,True
Honda,TRANSPORT,True
Korian,SERVICES,True
Hp,HIGH TECH,True
AMERICAN EXPRESS,BANQUE/ASSURANCE/FINANCES,True
Carrefour,DISTRIBUTION,True
Air France,TOURISME,True
BATI PARIS PROMOTION,IMMOBILIER,True
BRISTOL MYERS SQUIBB,SANTÉ,True
Hopium,TRANSPORT,True
La Poste,SERVICES,True
Dell,HIGH TECH,True
AMUNDI,BANQUE/ASSURANCE/FINANCES,True
Lidl,DISTRIBUTION,True
BECARRE IMMO,TOURISME,True
DOCTOLIB,IMMOBILIER,True
JLR,SANTÉ,True
Leaseplan,TRANSPORT,True
GOOGLE,SERVICES,True
"CULTURE (hors local théâtres, musées, et opéras locaux)",HIGH TECH,True
ARAMCO,BANQUE/ASSURANCE/FINANCES,True
Intermarché,DISTRIBUTION,True
BELLES DEMEURES,TOURISME,True
GROUPE SANOFI AVENTIS,IMMOBILIER,True
KIA,SANTÉ,True
Manpower,TRANSPORT,True
Samsung,SERVICES,True
EDITION,HIGH TECH,True
ARKEMA,BANQUE/ASSURANCE/FINANCES,True
Galeries Lafayette,DISTRIBUTION,True
BIOCITECH,TOURISME,True
INSERM,IMMOBILIER,True
Lexus,SANTÉ,True
O2,TRANSPORT,True
Siemens,SERVICES,True
MODE,HIGH TECH,True
ARTEMIS COURTAGE,BANQUE/ASSURANCE/FINANCES,True
Printemps,DISTRIBUTION,True
BNP PARIBAS IMMOBILIER,TOURISME,True
KREATIV DENTAL,IMMOBILIER,True
Mercedes,SANTÉ,True
OGF,TRANSPORT,True
Sonos,SERVICES,True
AVOCATS,HIGH TECH,True
ASAC FAPES,BANQUE/ASSURANCE/FINANCES,True
FRANCE ANTIQUITÉS,DISTRIBUTION,True
BOUYGUES IMMOBILIER,TOURISME,True
MEDAVIZ,IMMOBILIER,True
MG Motor,SANTÉ,True
Randstad,TRANSPORT,True
Xiaomi,SERVICES,True
ASSURANCEVIE.COM,BANQUE/ASSURANCE/FINANCES,True
BPD MARIGNAN,DISTRIBUTION,True
NATURENVIE,TOURISME,True
Michelin,IMMOBILIER,True
Synerpa,SANTÉ,True
Dyson,TRANSPORT,True
AVIVA,BANQUE/ASSURANCE/FINANCES,True
CAPSTONE IMMOBILIER,DISTRIBUTION,True
PIERRE FABRE,TOURISME,True
Mini,IMMOBILIER,True
Uber,SANTÉ,True
Delonghi,TRANSPORT,True
BANQUE CANTONALE DE GENEVE,BANQUE/ASSURANCE/FINANCES,True
CENTURY 21,DISTRIBUTION,True
VIIV HEALTHCARE,TOURISME,True
Mitsubishi,IMMOBILIER,True
Verisure,SANTÉ,True
Kitchenaid,TRANSPORT,True
BANQUE FRANCAISE MUTUALISTE,BANQUE/ASSURANCE/FINANCES,True
CIMALPES,DISTRIBUTION,True
SOLGAR FRANCE,TOURISME,True
Suzuki,IMMOBILIER,True
Salesforce,SANTÉ,True
SMEG,TRANSPORT,True
BANQUE PALATINE,BANQUE/ASSURANCE/FINANCES,True
CLUB MEDITERRANEE,DISTRIBUTION,True
PURESSENTIEL,TOURISME,True
Toyota,IMMOBILIER,True
WMF,SANTÉ,True
BANQUE POPULAIRE,BANQUE/ASSURANCE/FINANCES,True
COFFIM,DISTRIBUTION,True
SIGNIA,TOURISME,True
Groupe VGF,IMMOBILIER,True
Coyote,SANTÉ,True
BANQUE TRANSATLANTIQUE,BANQUE/ASSURANCE/FINANCES,True
COLDWELL BANKER IMMOBIL.,DISTRIBUTION,True
Volvo,TOURISME,True
BOURSORAMA,BANQUE/ASSURANCE/FINANCES,True
CONSULTANTS IMMOBILIER,DISTRIBUTION,True
CAFPI,BANQUE/ASSURANCE/FINANCES,True
COVIVIO,DISTRIBUTION,True
CAISSE D'EPARGNE,BANQUE/ASSURANCE/FINANCES,True
CREDIT AGRICOLE IMMOBILIER,DISTRIBUTION,True
CARAC,BANQUE/ASSURANCE/FINANCES,True
DANIEL FEAU,DISTRIBUTION,True
CARDIF,BANQUE/ASSURANCE/FINANCES,True
EIFFAGE,DISTRIBUTION,True
CARMIGNAC,BANQUE/ASSURANCE/FINANCES,True
EMERIGE,DISTRIBUTION,True
CIC BQUE PRIVEE,BANQUE/ASSURANCE/FINANCES,True
EMILE GARCIN,DISTRIBUTION,True
CREDIT AGRICOLE,BANQUE/ASSURANCE/FINANCES,True
ENGEL & VOLKERS,DISTRIBUTION,True
CREDIT DU NORD,BANQUE/ASSURANCE/FINANCES,True
ESPACES ATYPIQUES,DISTRIBUTION,True
CREDIT LOGEMENT,BANQUE/ASSURANCE/FINANCES,True
FED.PROMOT.IMMOBILIERS,DISTRIBUTION,True
DNCA,BANQUE/ASSURANCE/FINANCES,True
FONCIA,DISTRIBUTION,True
EDF,BANQUE/ASSURANCE/FINANCES,True
FRANCO SUISSE BATIMENT,DISTRIBUTION,True
ENEDIS,BANQUE/ASSURANCE/FINANCES,True
GC KOLLECTION,DISTRIBUTION,True
ENGIE,BANQUE/ASSURANCE/FINANCES,True
GSE IMMOB.ENTREPRISE,DISTRIBUTION,True
FLOA BANK,BANQUE/ASSURANCE/FINANCES,True
HISTOIRE & PATRIMOINE IMMOBILIER,DISTRIBUTION,True
FONCIÈRE MAGELLAN,BANQUE/ASSURANCE/FINANCES,True
ICADE,DISTRIBUTION,True
FONDATION DE France,BANQUE/ASSURANCE/FINANCES,True
IKORY,DISTRIBUTION,True
FONDATION FRANCIS BOUYGUES,BANQUE/ASSURANCE/FINANCES,True
IROKO RESIDENCE,DISTRIBUTION,True
GAIPARE,BANQUE/ASSURANCE/FINANCES,True
JUNOT IMMOBILIER,DISTRIBUTION,True
GROUPE AXA,BANQUE/ASSURANCE/FINANCES,True
KAUFMAN ET BROAD,DISTRIBUTION,True
GROUPE BNP,BANQUE/ASSURANCE/FINANCES,True
LES SENIORIALES,DISTRIBUTION,True
GROUPE EDMOND DE ROTCHILD,BANQUE/ASSURANCE/FINANCES,True
LOISELET-DAIGREMONT SYND.,DISTRIBUTION,True
GROUPE PICTET,BANQUE/ASSURANCE/FINANCES,True
MARC FOUJOLS,DISTRIBUTION,True
HSBC,BANQUE/ASSURANCE/FINANCES,True
MICHAEL ZINGRAF,DISTRIBUTION,True
IG MARKET,BANQUE/ASSURANCE/FINANCES,True
NEXITY,DISTRIBUTION,True
IROKO,BANQUE/ASSURANCE/FINANCES,True
PATRICE BESSE,DISTRIBUTION,True
ISOVER,BANQUE/ASSURANCE/FINANCES,True
PICHET IMMOBILIER,DISTRIBUTION,True
JP MORGAN,BANQUE/ASSURANCE/FINANCES,True
PITCH PROMOTION,DISTRIBUTION,True
LA BANQUE POSTALE,BANQUE/ASSURANCE/FINANCES,True
PREFERENCE HOME,DISTRIBUTION,True
LA FRANCAISE,BANQUE/ASSURANCE/FINANCES,True
PRIAMS IMMOBILIER,DISTRIBUTION,True
LA MACIF,BANQUE/ASSURANCE/FINANCES,True
PROMO 6,DISTRIBUTION,True
LA MIF,BANQUE/ASSURANCE/FINANCES,True
PROMOGIM,DISTRIBUTION,True
LAZARD FRERE GESTION,BANQUE/ASSURANCE/FINANCES,True
REALITES,DISTRIBUTION,True
LES APPRENTIS D'AUTEUIL,BANQUE/ASSURANCE/FINANCES,True
RESIDE ETUDES,DISTRIBUTION,True
LINXEA,BANQUE/ASSURANCE/FINANCES,True
SEFRI-CIME,DISTRIBUTION,True
LOMBARD ODIER,BANQUE/ASSURANCE/FINANCES,True
SOCORPI IMMOBILIERE,DISTRIBUTION,True
M&G INVESTMENT,BANQUE/ASSURANCE/FINANCES,True
SOGEPROM,DISTRIBUTION,True
MACSF,BANQUE/ASSURANCE/FINANCES,True
SOTHEBY S INTERNAT.REALTY,DISTRIBUTION,True
MATMUT,BANQUE/ASSURANCE/FINANCES,True
TERRESENS,DISTRIBUTION,True
MEILLEUR TAUX,BANQUE/ASSURANCE/FINANCES,True
VALLAT S GROUPE,DISTRIBUTION,True
MGEN,BANQUE/ASSURANCE/FINANCES,True
VERRECCHIA CONSTRUCTION,DISTRIBUTION,True
MILLEIS,BANQUE/ASSURANCE/FINANCES,True
WELLIO,DISTRIBUTION,True
MONCEAU ASSURANCE,BANQUE/ASSURANCE/FINANCES,True
MONPENSIER FINANCE,BANQUE/ASSURANCE/FINANCES,True
MOONCARD,BANQUE/ASSURANCE/FINANCES,True
N26,BANQUE/ASSURANCE/FINANCES,True
NATIXIS,BANQUE/ASSURANCE/FINANCES,True
NEKTAREA,BANQUE/ASSURANCE/FINANCES,True
NEUFLIZE,BANQUE/ASSURANCE/FINANCES,True
ORANGE BANK,BANQUE/ASSURANCE/FINANCES,True
ORDRE DE MALTE,BANQUE/ASSURANCE/FINANCES,True
PERIAL,BANQUE/ASSURANCE/FINANCES,True
PLACEMENT DIRECT,BANQUE/ASSURANCE/FINANCES,True
PSA FINANCE,BANQUE/ASSURANCE/FINANCES,True
QONTO,BANQUE/ASSURANCE/FINANCES,True
RCI BANQUE,BANQUE/ASSURANCE/FINANCES,True
SAINT GOBAIN,BANQUE/ASSURANCE/FINANCES,True
SAXO BANQUE,BANQUE/ASSURANCE/FINANCES,True
SMA,BANQUE/ASSURANCE/FINANCES,True
SOCIETE GENERALE,BANQUE/ASSURANCE/FINANCES,True
SWISS LIFE,BANQUE/ASSURANCE/FINANCES,True
TIKEHAU CAPITAL,BANQUE/ASSURANCE/FINANCES,True
TOTAL ENERGIE,BANQUE/ASSURANCE/FINANCES,True
UBS,BANQUE/ASSURANCE/FINANCES,True
VEOLIA,BANQUE/ASSURANCE/FINANCES,True
VISA,BANQUE/ASSURANCE/FINANCES,True
YOMONI,BANQUE/ASSURANCE/FINANCES,True
,BANQUE/ASSURANCE/FINANCES,True
